"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0016740","MF","transferase activity","8/51","2256/191179",1.50713471106988e-07,8,"CMTR2/LCMT2/NOP2/POLR2J/POLR2J2/POLR2J3/POLR2K/TRMT12",1.11396913426904e-06
"GO:0046872","MF","metal ion binding","10/51","4299/191179",1.80157136856181e-07,10,"ADAT3/NUDT16/POLR2K/RBM4/RPL37A/RPS27L/RPS29/RTL3/ZCCHC13/ZRSR2P1",1.27611305273128e-06
"GO:0008757","MF","S-adenosylmethionine-dependent methyltransferase activity","4/51","187/191179",2.13666293817798e-07,4,"CMTR2/LCMT2/NOP2/TRMT12",1.42686689771078e-06
"GO:0043169","MF","cation binding","10/51","4390/191179",2.18226702002826e-07,10,"ADAT3/NUDT16/POLR2K/RBM4/RPL37A/RPS27L/RPS29/RTL3/ZCCHC13/ZRSR2P1",1.42686689771078e-06
"GO:0003743","MF","translation initiation factor activity","3/51","51/191179",3.69047642457386e-07,3,"EIF2S3B/EIF4A1/MCTS1",2.26391666163173e-06
"GO:0008168","MF","methyltransferase activity","4/51","215/191179",3.72880391327579e-07,4,"CMTR2/LCMT2/NOP2/TRMT12",2.26391666163173e-06
"GO:0016741","MF","transferase activity, transferring one-carbon groups","4/51","226/191179",4.54890434066021e-07,4,"CMTR2/LCMT2/NOP2/TRMT12",2.66659909624909e-06
"GO:0046914","MF","transition metal ion binding","6/51","1107/191179",5.36272509199105e-07,6,"NUDT16/POLR2K/RBM4/RPS29/RTL3/ZCCHC13",3.03887755212826e-06
"GO:0003730","MF","mRNA 3'-UTR binding","4/51","258/191179",7.7030883292862e-07,4,"HNRNPA1L2/HNRNPA3/RBM4/RPL41",4.22427424509243e-06
"GO:0008135","MF","translation factor activity, RNA binding","3/51","85/191179",1.73917451456204e-06,3,"EIF2S3B/EIF4A1/MCTS1",9.23936460861084e-06
"GO:0008270","MF","zinc ion binding","5/51","834/191179",3.10577890643537e-06,5,"POLR2K/RBM4/RPS29/RTL3/ZCCHC13",1.5999467093758e-05
"GO:0003697","MF","single-stranded DNA binding","3/51","118/191179",4.67084986208359e-06,3,"FUBP1/POLR2G/PURA",2.3354249310418e-05
"GO:0003677","MF","DNA binding","7/51","2530/191179",4.90636130699322e-06,7,"FUBP1/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA",2.38308977768242e-05
"GO:0000339","MF","RNA cap binding","2/51","20/191179",1.32153908875637e-05,2,"EIF4A1/NCBP2L",6.24060125246062e-05
"GO:0008175","MF","tRNA methyltransferase activity","2/51","33/191179",3.66434154488723e-05,2,"LCMT2/TRMT12",0.000168361638548873
"GO:0016787","MF","hydrolase activity","6/51","2419/191179",4.51343154418268e-05,6,"ADAT3/DDX19A/EIF2S3B/EIF4A1/NUDT16/RNASE3",0.000201916674345015
"GO:0016462","MF","pyrophosphatase activity","4/51","801/191179",6.53604964839993e-05,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.000272311971299646
"GO:0016817","MF","hydrolase activity, acting on acid anhydrides","4/51","802/191179",6.56752401369734e-05,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.000272311971299646
"GO:0016818","MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","4/51","802/191179",6.56752401369734e-05,4,"DDX19A/EIF2S3B/EIF4A1/NUDT16",0.000272311971299646
"GO:0016772","MF","transferase activity, transferring phosphorus-containing groups","4/51","895/191179",0.000100096185115276,4,"POLR2J/POLR2J2/POLR2J3/POLR2K",0.000405151225466594
"GO:0036002","MF","pre-mRNA binding","2/51","58/191179",0.000114230190370718,2,"RBM4/ZRSR2P1",0.000451607729372605
"GO:0019843","MF","rRNA binding","2/51","66/191179",0.000148027444708336,2,"FASTKD5/RPL8",0.000571924218191298
"GO:0003724","MF","RNA helicase activity","2/51","76/191179",0.000196344412237952,2,"DDX19A/EIF4A1",0.000741745557343374
"GO:0008186","MF","ATP-dependent activity, acting on RNA","2/51","78/191179",0.000206814403668443,2,"DDX19A/EIF4A1",0.000764314100513812
