"Category","Description","p.adjust","Count","Genes"
"GO MF","heterocyclic compound binding",1.19e-49,41,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","organic cyclic compound binding",1.26e-49,41,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/RTL3/SMN1/SNRNP27/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","RNA binding",6.01e-49,32,"DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/SMN1/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","molecular_function",9.54e-42,47,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","binding",9.54e-42,46,"ADAT3/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","protein binding",1.19e-29,37,"ADAT3/DDX19A/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA3/LCMT2/MCTS1/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RPL10/RPL17/RPL3/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
"GO MF","structural constituent of ribosome",8.26e-25,12,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA"
"GO MF","catalytic activity, acting on RNA",1.43e-20,12,"CMTR2/DDX19A/EIF4A1/LCMT2/NOP2/NUDT16/POLR2J/POLR2J2/POLR2J3/POLR2K/RNASE3/TRMT12"
"GO MF","catalytic activity, acting on a nucleic acid",2.46e-18,12,"CMTR2/DDX19A/EIF4A1/LCMT2/NOP2/NUDT16/POLR2J/POLR2J2/POLR2J3/POLR2K/RNASE3/TRMT12"
"GO CC","cellular_component",1.29e-37,46,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/RTL3/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1"
