"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0006807","BP","nitrogen compound metabolic process","41/51","10095/191179",2.9743929583747e-43,41,"ADAT3/CMTR2/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.59265222952972e-41
"GO:0044238","BP","primary metabolic process","41/51","10643/191179",2.53313634453941e-42,41,"ADAT3/CMTR2/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",1.24334775577809e-40
"GO:0008150","BP","biological_process","46/51","18870/191179",7.38903223894318e-41,46,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE13/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",3.34779999133656e-39
"GO:0009987","BP","cellular process","45/51","17593/191179",2.30985783854546e-40,45,"ADAT3/CMTR2/DDX19A/EIF2S3B/EIF4A1/FASTKD5/FIP1L1/FUBP1/HNRNPA1L2/HNRNPA3/LCMT2/MCTS1/MRPS28/NCBP2L/NOP2/NUDT16/NXF5/PNRC2/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K/PURA/RBM4/RNASE10/RNASE3/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/SMN1/SNRNP27/TRMT12/UTP3/ZCCHC13/ZRSR2P1",9.71790190645197e-39
"GO:0002181","BP","cytoplasmic translation","16/51","156/191179",1.2212751660592e-37,16,"EIF2S3B/EIF4A1/MCTS1/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS29/RPS8/RPSA/ZCCHC13",4.79554048539245e-36
"GO:0006412","BP","translation","20/51","835/191179",3.47122042500072e-34,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",1.27784301895339e-32
"GO:0043043","BP","peptide biosynthetic process","20/51","866/191179",7.2213021893858e-34,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",2.50196881738131e-32
"GO:0006518","BP","peptide metabolic process","20/51","997/191179",1.21908559167034e-32,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",3.98911896385461e-31
"GO:0043604","BP","amide biosynthetic process","20/51","1004/191179",1.4025496105769e-32,20,"EIF2S3B/EIF4A1/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/ZCCHC13",4.34790379278839e-31
"GO:1901566","BP","organonitrogen compound biosynthetic process","22/51","1872/191179",6.63743883386066e-31,22,"EIF2S3B/EIF4A1/LCMT2/MCTS1/MRPS28/POLR2G/PURA/RBM4/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA/TRMT12/ZCCHC13",1.95472573657196e-29
