"ID","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"hsa05142","Chagas disease - Homo sapiens (human)","1/390","103/191179",0.189730212172973,1,"SMAD2",0.257134366497582
"hsa04064","NF-kappa B signaling pathway - Homo sapiens (human)","1/390","105/191179",0.193034484270712,1,"RIGI",0.258214959479005
"hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)","1/390","110/191179",0.201236482082996,1,"CPEB4",0.265735354545495
"hsa00230","Purine metabolism - Homo sapiens (human)","1/390","128/191179",0.230081172905886,1,"AK6",0.299979250750712
"hsa04926","Relaxin signaling pathway - Homo sapiens (human)","1/390","130/191179",0.233221304618867,1,"SMAD2",0.300272429696791
"hsa04114","Oocyte meiosis - Homo sapiens (human)","1/390","138/191179",0.245654604822319,1,"CPEB4",0.304848485502396
"hsa04210","Apoptosis - Homo sapiens (human)","1/390","137/191179",0.244111506905071,1,"EIF2S1",0.304848485502396
"hsa04910","Insulin signaling pathway - Homo sapiens (human)","1/390","138/191179",0.245654604822319,1,"RPS6",0.304848485502396
"hsa04150","mTOR signaling pathway - Homo sapiens (human)","1/390","158/191179",0.275865138058835,1,"RPS6",0.322887604773409
"hsa04218","Cellular senescence - Homo sapiens (human)","1/390","157/191179",0.274383683758628,1,"SMAD2",0.322887604773409
"hsa04921","Oxytocin signaling pathway - Homo sapiens (human)","1/390","154/191179",0.269921158166307,1,"EEF2",0.322887604773409
"hsa04932","Non-alcoholic fatty liver disease - Homo sapiens (human)","1/390","157/191179",0.274383683758628,1,"EIF2S1",0.322887604773409
"hsa04934","Cushing syndrome - Homo sapiens (human)","1/390","155/191179",0.271411699971386,1,"WDR5",0.322887604773409
"hsa04530","Tight junction - Homo sapiens (human)","1/390","170/191179",0.293409017446965,1,"YBX3",0.339208817574657
"hsa05200","Pathways in cancer - Homo sapiens (human)","2/390","533/191179",0.296396054191448,2,"SMAD2/SMAD4",0.339208817574657
"hsa04141","Protein processing in endoplasmic reticulum - Homo sapiens (human)","1/390","175/191179",0.300593242460632,1,"EIF2S1",0.3402319117961
"hsa04814","Motor proteins - Homo sapiens (human)","1/390","194/191179",0.327235061189123,1,"DYNLL1",0.366360992418258
"hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)","1/390","201/191179",0.336793212045194,1,"CDK9",0.371010417014917
"hsa05203","Viral carcinogenesis - Homo sapiens (human)","1/390","205/191179",0.342194073945797,1,"HNRNPK",0.371010417014917
"hsa05169","Epstein-Barr virus infection - Homo sapiens (human)","1/390","205/191179",0.342194073945797,1,"RIGI",0.371010417014917
"hsa05207","Chemical carcinogenesis - receptor activation - Homo sapiens (human)","1/390","217/191179",0.358134856357199,1,"KPNB1",0.380287527884449
"hsa05417","Lipid and atherosclerosis - Homo sapiens (human)","1/390","216/191179",0.356821305088023,1,"EIF2S1",0.380287527884449
"hsa04714","Thermogenesis - Homo sapiens (human)","1/390","235/191179",0.38132644731991,1,"RPS6",0.40078187830562
"hsa04144","Endocytosis - Homo sapiens (human)","1/390","250/191179",0.400012966654271,1,"SMAD2",0.41617510672111
"hsa04145","Phagocytosis - Homo sapiens (human)","1/390","259/191179",0.410953540325458,1,"DYNLL1",0.423282146535221
"hsa04517","IgSF CAM signaling - Homo sapiens (human)","1/390","299/191179",0.457220310391696,1,"DYNLL1",0.466274177924205
"hsa05165","Human papillomavirus infection - Homo sapiens (human)","1/390","333/191179",0.49368515497013,1,"NFX1",0.498525205509052
"hsa04151","PI3K-Akt signaling pathway - Homo sapiens (human)","1/390","362/191179",0.522849828862807,1,"RPS6",0.522849828862807
