"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:1902494","CC","catalytic complex","7/51","1730/191179",4.01546672058697e-07,7,"HNRNPA1L2/HNRNPA3/POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",1.49412715184631e-06
"GO:0030054","CC","cell junction","7/51","2202/191179",1.98095910493919e-06,7,"PURA/RPL3/RPL37A/RPL8/RPS20/RPS29/RPS8",7.20348765432435e-06
"GO:0070062","CC","extracellular exosome","7/51","2211/191179",2.0347119634866e-06,7,"EIF4A1/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",7.23453142573013e-06
"GO:0099080","CC","supramolecular complex","6/51","1408/191179",2.14285273506741e-06,6,"DDX19A/FASTKD5/PNRC2/POLR2G/RBM4/SMN1",7.45340081762578e-06
"GO:0043230","CC","extracellular organelle","7/51","2309/191179",2.70350912337306e-06,7,"EIF4A1/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",8.82778489264671e-06
"GO:0065010","CC","extracellular membrane-bounded organelle","7/51","2309/191179",2.70350912337306e-06,7,"EIF4A1/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",8.82778489264671e-06
"GO:1903561","CC","extracellular vesicle","7/51","2308/191179",2.69585763169282e-06,7,"EIF4A1/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",8.82778489264671e-06
"GO:1990234","CC","transferase complex","5/51","861/191179",3.62385816259523e-06,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",1.15963461203047e-05
"GO:0070161","CC","anchoring junction","5/51","898/191179",4.44147468132433e-06,5,"RPL3/RPL37A/RPL8/RPS29/RPS8",1.39340382159195e-05
"GO:0005615","CC","extracellular space","8/51","3592/191179",4.77998270289079e-06,8,"EIF4A1/RNASE3/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",1.47076390858178e-05
"GO:0031982","CC","vesicle","8/51","4171/191179",1.40753266072247e-05,8,"EIF4A1/RNASE3/RPL3/RPL37A/RPS20/RPS29/RPS8/RPSA",4.24915520218103e-05
"GO:0034518","CC","RNA cap binding complex","2/51","22/191179",1.60616445485022e-05,2,"EIF4A1/NCBP2L",4.7590057921488e-05
"GO:0005681","CC","spliceosomal complex","3/51","205/191179",2.43581310856369e-05,3,"HNRNPA1L2/HNRNPA3/ZRSR2P1",7.08600177036708e-05
"GO:0032040","CC","small-subunit processome","2/51","74/191179",0.000186142915518956,2,"RPS8/UTP3",0.000531836901482732
"GO:0016020","CC","membrane","10/51","9641/191179",0.000201354081988348,10,"DDX19A/EIF4A1/MRPS28/RPL10/RPL36/RPL8/RPS20/RPS29/RPS8/RPSA",0.000565204440669046
"GO:0010494","CC","cytoplasmic stress granule","2/51","89/191179",0.000269186283399204,2,"DDX19A/RBM4",0.000742582850756424
"GO:0071013","CC","catalytic step 2 spliceosome","2/51","91/191179",0.000281394721658548,2,"HNRNPA1L2/HNRNPA3",0.000763104329921486
"GO:0000932","CC","P-body","2/51","99/191179",0.000332889853025018,2,"PNRC2/POLR2G",0.000887706274733381
"GO:0030684","CC","preribosome","2/51","109/191179",0.000403226169700274,2,"RPS8/UTP3",0.00105764241232859
"GO:0120114","CC","Sm-like protein family complex","2/51","117/191179",0.000464247675243424,2,"SMN1/SNRNP27",0.00119805851675722
"GO:0045202","CC","synapse","4/51","1449/191179",0.000618610961458825,4,"PURA/RPL37A/RPL8/RPS20",0.00157107545767321
"GO:0005846","CC","nuclear cap binding complex","1/51","4/191179",0.00106664426294223,1,"NCBP2L",0.00262558587801164
"GO:0098556","CC","cytoplasmic side of rough endoplasmic reticulum membrane","1/51","4/191179",0.00106664426294223,1,"RPS29",0.00262558587801164
"GO:0005850","CC","eukaryotic translation initiation factor 2 complex","1/51","5/191179",0.00133313099573962,1,"EIF2S3B",0.00323183271694453
