"GOID","Ontology","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"GO:0019866","CC","organelle inner membrane","1/51","553/191179",0.13735717887058,1,"MRPS28",0.166493550146158
"GO:0030425","CC","dendrite","1/51","618/191179",0.152233363725559,1,"PURA",0.182312932755873
"GO:0097447","CC","dendritic tree","1/51","620/191179",0.152687081183044,1,"PURA",0.182312932755873
"GO:0030424","CC","axon","1/51","647/191179",0.158789015910899,1,"SMN1",0.188194389227732
"GO:0098552","CC","side of membrane","1/51","724/191179",0.175955182543705,1,"RPS29",0.207006097110242
"GO:0048471","CC","perinuclear region of cytoplasm","1/51","736/191179",0.178599312979738,1,"RBM4",0.208583139246409
"GO:0000323","CC","lytic vacuole","1/51","757/191179",0.183206540419606,1,"RNASE3",0.209378903336693
"GO:0005764","CC","lysosome","1/51","757/191179",0.183206540419606,1,"RNASE3",0.209378903336693
"GO:0031966","CC","mitochondrial membrane","1/51","757/191179",0.183206540419606,1,"MRPS28",0.209378903336693
"GO:0005740","CC","mitochondrial envelope","1/51","804/191179",0.193426344152808,1,"MRPS28",0.21949088698191
"GO:0005773","CC","vacuole","1/51","846/191179",0.202452794806449,1,"RNASE3",0.228115825134027
"GO:0030141","CC","secretory granule","1/51","891/191179",0.212014097199067,1,"RNASE3",0.237218570292663
"GO:0099081","CC","supramolecular polymer","1/51","1044/191179",0.243689467809914,1,"SMN1",0.268898723100595
"GO:0099512","CC","supramolecular fiber","1/51","1036/191179",0.242064621406506,1,"SMN1",0.268898723100595
"GO:0099503","CC","secretory vesicle","1/51","1065/191179",0.247938459071448,1,"RNASE3",0.271713379804327
"GO:0031090","CC","organelle membrane","2/51","3724/191179",0.261789076014218,2,"MRPS28/RPS29",0.284940490899829
"GO:0005789","CC","endoplasmic reticulum membrane","1/51","1188/191179",0.272359473454875,1,"RPS29",0.293514712475562
"GO:0098827","CC","endoplasmic reticulum subcompartment","1/51","1193/191179",0.273335575992867,1,"RPS29",0.293514712475562
"GO:0042175","CC","nuclear outer membrane-endoplasmic reticulum membrane network","1/51","1211/191179",0.276838927430084,1,"RPS29",0.295294855925423
"GO:0031967","CC","organelle envelope","1/51","1270/191179",0.288206440077421,1,"MRPS28",0.303375200081495
"GO:0031975","CC","envelope","1/51","1270/191179",0.288206440077421,1,"MRPS28",0.303375200081495
"GO:0031984","CC","organelle subcompartment","1/51","1510/191179",0.332668618364123,1,"RPS29",0.347888751230455
"GO:0005794","CC","Golgi apparatus","1/51","1628/191179",0.353519052391436,1,"PNRC2",0.367292521965129
"GO:0005694","CC","chromosome","1/51","1955/191179",0.408019008260621,1,"PURA",0.4211809117529
"GO:0098588","CC","bounding membrane of organelle","1/51","2175/191179",0.442123628585818,1,"RPS29",0.453460131882891
"GO:0031410","CC","cytoplasmic vesicle","1/51","2503/191179",0.489422365087804,1,"RNASE3",0.496316007075062
"GO:0097708","CC","intracellular vesicle","1/51","2508/191179",0.490112056986624,1,"RNASE3",0.496316007075062
"GO:0005886","CC","plasma membrane","1/51","5859/191179",0.795592976153553,1,"RPSA",0.800596705563324
"GO:0071944","CC","cell periphery","1/51","6341/191179",0.821019610606282,1,"RPSA",0.821019610606282
